year,end,id,role,district,school,etlp_learningtargets,etlp_studentsassess,etlp_studentsidentify,etlp_feedbacktotargets,etlp_studenttostudentfeedback,etlp_studentsstatecriteria,etlp_instructionstatestandards,cfa_usecfa,cfa_allincfa,etlp_cfa_studentreviewscfa,cfa_cfausedtoplan,memberofteam,dbdm_teamreviewsdata,dbdm_teampositive,dbdm_effectiveteamingpractices,dbdm_datadeterminepractices,dbdm_visualrepresetations,lead_leadersmanage,lead_teachertoteacherfeedback,lead_leadercommitted,lead_leaderactive,pd_pdinstruuction,pd_coachinginstruction,pd_pdmonitor,pd_teacherfeedbackinstruction
Baseline,2017-03-10 10:58,R_3ktuiDKAUCvTtbF,Teacher,BELTON 124,Belton High,2,2,2,4,3,2,5,5,5,4,5,1,3,5,5,5,2,5,4,5,4,5,5,5,5
Baseline,2017-03-10 10:58,R_3qmVlaUzVv26GOy,Teacher,FT. ZUMWALT R-II,Mount Hope Elementary School,3,3,2,5,4,3,5,4,5,4,5,1,5,5,5,5,4,5,4,5,5,5,4,4,4
Baseline,2017-03-10 10:59,R_8uknu80zswXdiy5,Teacher,MCDONALD CO. R-I,Anderson Elementary,4,4,4,4,4,3,5,5,5,5,5,1,5,4,4,4,5,5,4,4,4,4,4,5,2
Baseline,2017-03-10 11:02,R_2uWfdKjSiz4rpBL,Teacher,MCDONALD CO. R-I,Anderson Elementary,5,4,3,5,5,4,2,5,5,4,5,1,2,2,1,2,1,5,5,5,4,5,3,5,3
Baseline,2017-03-10 11:09,R_sAT0MUA3Bx9hmCt,Teacher,MCDONALD CO. R-I,Anderson Elementary,3,4,4,4,4,3,5,5,5,4,5,1,4,4,4,4,4,4,4,4,1,5,4,5,4
Baseline,2017-03-10 11:14,R_1OuZyimt2Z9wnRW,Teacher,MCDONALD CO. R-I,Anderson Elementary,5,4,3,4,4,2,4,4,3,2,4,1,4,4,1,4,3,2,2,3,2,4,2,3,2
Baseline,2017-03-10 11:18,R_RxGG0v7fxNqdiOl,Teacher,MCDONALD CO. R-I,Pineville Primary,5,5,4,4,5,4,5,5,5,4,5,1,5,5,5,4,3,4,3,4,5,5,5,5,2
Baseline,2017-03-10 11:56,R_1kMlI1MHFxmdguv,Teacher,MCDONALD CO. R-I,Noel Elementary,2,3,2,5,3,3,4,5,5,5,5,1,4,4,3,2,2,4,4,3,2,2,2,2,3
Baseline,2017-03-10 11:57,R_2cpSRHeh6Q2x6aT,Teacher,MCDONALD CO. R-I,Anderson Elementary,4,4,4,5,3,4,5,5,5,5,5,1,4,5,4,4,5,4,4,4,4,5,4,5,4
Baseline,2017-03-10 11:58,R_2axYWPSlABviiVu,Teacher,MCDONALD CO. R-I,Anderson Elementary,5,5,5,5,3,4,5,5,5,5,5,1,3,3,5,4,5,3,3,3,2,5,5,5,5
Baseline,2017-03-10 12:02,R_T7PoFw45nEyNN2V,Special Educator,MERAMEC VALLEY R-III,Meramec Valley Community School,2,2,1,3,2,1,4,2,1,1,2,1,5,4,5,5,5,5,5,5,5,5,5,5,4
Baseline,2017-03-10 12:09,R_3nB20KujCEFzU9V,Teacher,MCDONALD CO. R-I,Anderson Elementary,1,1,4,5,4,2,2,4,5,1,5,1,5,4,5,2,4,5,2,5,4,4,2,2,2
Baseline,2017-03-10 12:29,R_2sQHw6Pg0FE0E1S,Teacher,MCDONALD CO. R-I,Noel Elementary,4,4,5,5,4,4,4,4,5,5,5,1,3,5,4,4,4,5,5,4,5,4,4,4,4
Baseline,2017-03-10 12:46,R_8pS8f8RjiJREIBX,Teacher,MERAMEC VALLEY R-III,Nike Elementary,4,4,4,4,4,4,4,4,4,4,4,1,2,4,1,4,3,2,4,4,2,4,2,2,2
Baseline,2017-03-10 12:46,R_esnzrpgR4uDXmDL,Teacher,WILLOW SPRINGS R-IV,Willow Springs Middle School,4,5,4,5,4,4,5,5,5,5,5,1,5,5,5,5,5,4,4,5,5,5,5,5,4
Baseline,2017-03-10 12:53,R_1l6o4m2Etr4IkiF,Other,MERAMEC VALLEY R-III,Coleman Elementary,1,1,2,2,1,1,4,2,2,1,2,0,,,,3,4,4,4,3,2,4,3,3,2
Baseline,2017-03-10 12:55,R_1FrzNwLLxiGrIbB,Teacher,MCDONALD CO. R-I,Noel Elementary,4,4,4,5,4,3,5,4,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-10 12:55,R_3L74Y4oCNoVegfy,Teacher,MERAMEC VALLEY R-III,Robertsville Elementary,4,2,4,2,4,2,3,2,2,1,4,1,2,4,4,5,5,5,5,5,4,4,4,3,4
Baseline,2017-03-10 12:55,R_2sT5nhv7r9VqHRr,Teacher,WILLOW SPRINGS R-IV,Willow Springs Middle School,5,4,4,5,4,5,5,5,5,5,5,1,5,5,5,5,5,4,5,5,4,5,5,5,5
Baseline,2017-03-10 12:57,R_2xKnv5jsq3A2K3d,Teacher,MCDONALD CO. R-I,Southwest City Elementary,2,3,4,4,4,3,5,4,5,5,5,1,2,5,4,4,4,4,3,4,4,4,3,4,2
Baseline,2017-03-10 13:04,R_T5ZtHJlEzbGj8Ah,Teacher,MCDONALD CO. R-I,Southwest City Elementary,1,5,4,4,3,4,2,5,5,2,4,1,5,4,4,4,5,4,3,5,5,4,4,3,3
Baseline,2017-03-10 13:12,R_sES5eczQhf93p8B,Teacher,FT. ZUMWALT R-II,Hawthorn Elementary School,2,3,2,4,5,3,4,4,5,2,5,1,5,5,5,5,5,5,3,5,3,5,5,5,5
Baseline,2017-03-10 13:36,R_1dMlJKYxSpePRiB,Teacher,FT. ZUMWALT R-II,Mount Hope Elementary School,5,5,5,5,4,4,4,4,5,5,5,1,4,4,4,4,4,5,4,4,4,4,4,4,4
Baseline,2017-03-10 13:43,R_2cA8hQgkcnVQus3,Teacher,MERAMEC VALLEY R-III,Nike Elementary,4,3,4,5,5,3,5,5,5,4,5,0,,,,4,4,4,4,4,4,,4,4,2
Baseline,2017-03-10 13:47,R_C3RdInCD5PuicLf,Teacher,MERAMEC VALLEY R-III,Nike Elementary,3,2,2,4,3,,5,5,5,2,4,1,5,4,5,4,5,4,5,4,4,5,4,3,2
Baseline,2017-03-10 13:56,R_2AT3mQnJ1DJEKMw,Other,MCDONALD CO. R-I,Mcdonald County High,5,5,4,5,5,4,5,5,3,5,5,1,5,5,5,5,5,5,5,5,5,5,5,4,4
Baseline,2017-03-10 13:57,R_3O7wjWjxVeVJIdI,Special Educator,MCDONALD CO. R-I,Anderson Elementary,3,3,4,4,4,4,5,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,
Baseline,2017-03-10 14:04,R_3fxWvJYAZjyyR3M,Teacher,FT. ZUMWALT R-II,Mount Hope Elementary School,4,4,4,5,3,4,5,5,5,4,5,1,5,5,5,5,5,5,4,5,4,4,3,4,5
Baseline,2017-03-10 14:10,R_BVBypAjX4tpnIkh,Teacher,MERAMEC VALLEY R-III,RIVERBEND SCH.,3,5,3,4,3,4,4,5,5,4,4,1,2,4,2,2,4,3,3,3,3,4,2,2,1
Baseline,2017-03-10 14:11,R_3exiarEu0OL1wb6,Teacher,MCDONALD CO. R-I,Noel Elementary,5,5,4,4,4,4,,4,4,4,4,1,5,4,4,4,4,4,4,4,4,4,4,4,4
Baseline,2017-03-10 14:19,R_WjwU13SqI2y4ZYl,Teacher,MCDONALD CO. R-I,Noel Elementary,5,5,3,4,3,4,4,5,5,4,5,1,3,4,2,4,3,2,1,3,2,4,3,2,2
Baseline,2017-03-10 14:30,R_x9lg8GSCJMvEVTH,Teacher,MCDONALD CO. R-I,WHITE ROCK ELEM.,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,3
Baseline,2017-03-10 14:31,R_1n7578EA0xsmnUJ,Teacher,BELTON 124,Belton High,2,4,2,4,4,3,4,5,5,4,5,0,,,,4,5,5,5,5,3,5,3,4,4
Baseline,2017-03-10 14:36,R_29izjTJrBppKwO0,Teacher,MCDONALD CO. R-I,Noel Elementary,2,4,3,5,1,5,5,5,5,5,4,1,5,2,5,5,1,4,4,4,4,5,5,5,5
Baseline,2017-03-10 14:54,R_3noNrzfjLqekpx4,Special Educator,MERAMEC VALLEY R-III,Coleman Elementary,4,5,4,5,4,4,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,4
Baseline,2017-03-10 14:54,R_eIJmMDcotmz19v3,Teacher,BELTON 124,Hillcrest Steam Academy,4,4,4,5,4,4,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-10 14:57,R_1OP3DdIJVPvIETU,Special Educator,FT. ZUMWALT R-II,Progress South Elementary School,2,1,2,4,3,1,4,4,2,2,4,1,4,4,4,4,4,3,3,4,4,4,3,3,3
Baseline,2017-03-10 15:03,R_10I5GY4brfMLyW1,Teacher,BELTON 124,Hillcrest Steam Academy,2,4,2,4,2,1,4,4,4,3,5,1,5,5,5,5,5,4,2,4,3,4,3,4,2
Baseline,2017-03-10 15:19,R_uaHuAMRdAe2LWFj,Special Educator,BELTON 124,Scott Elementary,1,1,1,1,4,1,1,2,1,1,1,1,2,4,5,2,4,4,4,4,4,4,3,3,3
Baseline,2017-03-10 15:26,R_3JfkASWcwUTfZjM,Teacher,MERAMEC VALLEY R-III,Nike Elementary,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-10 15:32,R_3iDx1mLjFvQvzvl,Teacher,MCDONALD CO. R-I,Pineville Primary,4,2,2,4,4,2,5,4,4,2,4,1,2,4,2,2,2,5,4,4,4,4,3,3,3
Baseline,2017-03-10 15:51,R_1LhbWXH2v2mR73Z,Teacher,MERAMEC VALLEY R-III,Coleman Elementary,4,4,4,5,4,4,4,5,5,4,4,1,5,5,5,4,5,5,5,5,5,4,3,3,4
Baseline,2017-03-10 15:56,R_AsUKgeY3JAkttGp,Teacher,MERAMEC VALLEY R-III,Nike Elementary,4,4,5,5,4,5,5,5,5,5,5,1,5,5,5,4,5,5,5,5,5,5,5,5,5
Baseline,2017-03-10 15:57,R_837rLZtcF41QWpH,Teacher,MERAMEC VALLEY R-III,Zitzman Elementary,4,4,4,5,4,4,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,4,4,4
Baseline,2017-03-10 16:00,R_pxAsVgIIolZ0EiB,Teacher,FT. ZUMWALT R-II,Progress South Elementary School,2,3,3,4,5,2,4,4,5,2,4,1,4,2,2,3,2,4,4,4,2,4,4,4,2
Baseline,2017-03-10 16:02,R_2eOJvh0RSQSi58V,Teacher,MERAMEC VALLEY R-III,Coleman Elementary,4,4,3,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,,4,4,5,4
Baseline,2017-03-10 16:04,R_YaxARDKQpyROlKp,Special Educator,MERAMEC VALLEY R-III,Zitzman Elementary,3,3,2,4,2,2,5,4,4,3,4,1,4,4,4,4,4,5,5,5,5,5,5,4,4
Baseline,2017-03-10 16:07,R_3NVvdPJF4XnE4f7,Teacher,POPLAR BLUFF R-I,Lake Road Elementary School,3,3,2,3,2,3,4,4,5,4,4,1,4,4,4,4,4,4,4,4,3,4,4,3,2
Baseline,2017-03-10 16:31,R_26l1kmhg6Nbo0Up,Teacher,MERAMEC VALLEY R-III,Zitzman Elementary,4,2,,4,2,4,5,4,5,3,5,1,5,4,2,4,4,5,5,5,5,5,4,4,3
Baseline,2017-03-10 16:31,R_DT9N96Agh915O6d,Teacher,MERAMEC VALLEY R-III,Zitzman Elementary,4,2,4,4,2,4,5,4,5,3,5,1,5,4,2,4,4,5,5,5,5,5,4,4,3
Baseline,2017-03-10 16:35,R_wZ9KSwwJA2EIK0V,Teacher,FT. ZUMWALT R-II,Hawthorn Elementary School,4,3,3,5,5,4,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,2
Baseline,2017-03-10 16:36,R_26hl2VaDSKVz60F,Teacher,BELTON 124,Gladden Elementary,4,4,1,5,2,1,5,5,4,2,5,0,,,,4,4,4,3,3,3,4,4,4,2
Baseline,2017-03-10 16:47,R_1n0mz7gH6M88c6l,Teacher,FT. ZUMWALT R-II,Hawthorn Elementary School,3,2,3,4,5,4,3,4,4,2,5,1,5,4,4,5,5,4,3,4,3,5,4,4,3
Baseline,2017-03-10 16:47,R_sBjfOowAP6CrCKd,Special Educator,STRAIN-JAPAN R-XVI,Strain-Japan Elementary,4,5,4,5,5,4,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-10 16:56,R_1Lp7G7TdwUWKydm,Building Administrator,STRAIN-JAPAN R-XVI,Strain-Japan Elementary,4,4,4,4,5,4,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,4
Baseline,2017-03-10 16:58,R_324SLyY6E0BkNVq,Teacher,FT. ZUMWALT R-II,Hawthorn Elementary School,4,4,4,4,4,2,5,5,5,4,4,1,5,4,4,5,5,4,4,4,4,5,5,5,5
Baseline,2017-03-10 16:59,R_2AXsHROzsmZzUKy,Teacher,MCDONALD CO. R-I,Pineville Elementary,2,5,4,5,5,4,2,5,5,4,5,1,5,5,5,5,5,2,3,3,2,4,2,4,2
Baseline,2017-03-10 17:07,R_2AND6jOp2k4HV3k,Teacher,MCDONALD CO. R-I,Pineville Primary,4,3,3,4,2,3,4,4,4,3,4,0,,,,4,4,4,4,4,4,4,4,4,3
Baseline,2017-03-10 17:34,R_3iyBQUieHI0CiBu,Teacher,STRAIN-JAPAN R-XVI,Strain-Japan Elementary,5,4,5,5,4,4,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-10 17:39,R_24jUytjavSXDGq8,Teacher,STRAIN-JAPAN R-XVI,Strain-Japan Elementary,3,3,3,4,4,4,5,5,4,4,5,1,4,4,5,5,5,4,5,4,5,5,5,5,5
Baseline,2017-03-10 17:45,R_3qqkaABVmTkPwAh,Teacher,STRAIN-JAPAN R-XVI,Strain-Japan Elementary,4,4,3,5,4,3,5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-10 17:50,R_1pSW1SkJBnQA7id,Special Educator,FT. ZUMWALT R-II,Mid Rivers Elementary School,1,4,1,5,2,1,4,5,5,2,5,1,4,5,5,5,5,4,2,4,3,5,3,5,4
Baseline,2017-03-10 18:08,R_2mpezr1006fLmSJ,Teacher,MCDONALD CO. R-I,Anderson Elementary,3,4,2,5,4,2,4,4,4,5,4,1,4,4,5,4,2,4,4,4,4,4,2,2,2
Baseline,2017-03-10 18:18,R_1imxGvARFC90GA0,Teacher,FT. ZUMWALT R-II,Pheasant Point Elementary School,2,4,4,3,4,4,5,5,5,4,5,1,4,4,4,4,4,5,4,5,5,5,4,5,3
Baseline,2017-03-10 18:29,R_307vV25KCB5yuWH,Teacher,STRAIN-JAPAN R-XVI,Strain-Japan Elementary,2,4,3,4,3,3,4,5,3,2,3,0,,,,4,4,4,4,5,5,5,3,4,3
Baseline,2017-03-10 18:53,R_bxwF8JPJyJIubwR,Teacher,FT. ZUMWALT R-II,Progress South Elementary School,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-10 20:25,R_RQ7QNs01jAGGGzv,Teacher,MCDONALD CO. R-I,WHITE ROCK ELEM.,4,4,4,4,4,5,5,5,4,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-10 20:43,R_3L1lfnZKDMwm9w5,Teacher,STRAIN-JAPAN R-XVI,Strain-Japan Elementary,3,5,3,5,3,3,4,4,4,5,5,1,4,5,5,4,5,4,4,4,4,4,3,4,4
Baseline,2017-03-10 20:47,R_2ZVy44AUfbCyRGn,Teacher,MCDONALD CO. R-I,Pineville Primary,4,4,3,4,4,5,5,5,4,5,5,0,,,,4,5,4,3,5,3,4,3,4,1
Baseline,2017-03-10 22:21,R_1LNczAY5ZPgDu2v,Teacher,BELTON 124,Hillcrest Steam Academy,3,4,4,4,5,3,5,5,5,5,5,1,4,5,5,5,5,3,4,3,4,2,4,4,2
Baseline,2017-03-10 23:33,R_1ghmt78FMToj6ot,Teacher,POPLAR BLUFF R-I,O'Neal Elementary School,2,2,3,4,4,3,4,5,4,2,4,1,2,2,2,4,2,4,4,4,5,5,4,4,5
Baseline,2017-03-10 23:58,R_1esApKcrUTkEYVL,Teacher,MERAMEC VALLEY R-III,Zitzman Elementary,4,4,4,5,5,4,4,5,5,5,5,1,5,5,5,5,4,5,5,5,5,2,2,3,2
Baseline,2017-03-11 1:44,R_3qywKeVlSVyyE6m,Teacher,MCDONALD CO. R-I,Mcdonald County High,4,4,4,3,3,2,5,5,5,2,1,1,2,4,4,3,4,5,5,5,5,5,4,4,4
Baseline,2017-03-11 8:58,R_e2TUEFoksaDLspr,Teacher,MCDONALD CO. R-I,Southwest City Elementary,4,2,2,4,4,4,4,4,3,3,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-11 13:53,R_2RPTvtCL7118WvP,Teacher,SEDALIA 200,Horace Mann Elementary,2,4,4,5,4,5,4,4,5,5,4,1,5,5,4,4,5,5,5,5,5,5,4,5,3
Baseline,2017-03-11 20:29,R_3m8XinH8jRMy1AR,Teacher,FT. ZUMWALT R-II,Mount Hope Elementary School,2,4,4,5,4,4,5,4,4,5,5,1,5,4,5,5,5,5,5,5,5,5,5,5,1
Baseline,2017-03-12 12:52,R_3iOaxNynf6Iym9O,Teacher,BELTON 124,Hillcrest Steam Academy,3,3,4,4,4,4,4,5,5,5,5,1,5,5,5,5,5,4,4,4,3,4,3,4,4
Baseline,2017-03-12 17:24,R_12fCPfyNpAxCdUJ,Teacher,POPLAR BLUFF R-I,O'Neal Elementary School,1,1,1,2,2,2,4,5,5,4,4,1,5,5,5,5,5,5,5,5,5,5,5,5,4
Baseline,2017-03-12 20:59,R_3PRZOFY2JHlxlbB,Teacher,FT. ZUMWALT R-II,Hawthorn Elementary School,3,3,3,4,4,4,4,4,4,3,4,1,4,4,5,5,4,5,4,5,5,4,4,4,4
Baseline,2017-03-12 22:05,R_2CP4WdIHrIixr9Y,Teacher,BELTON 124,Hillcrest Steam Academy,4,4,4,4,5,4,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-12 22:49,R_2S9pKm3qDed7I7w,Teacher,FT. ZUMWALT R-II,Hawthorn Elementary School,4,4,5,5,5,4,5,5,5,2,5,1,5,5,5,5,5,4,4,5,5,5,5,5,5
Baseline,2017-03-13 7:24,R_3KOc3Qs9FpVr8nw,Teacher,STRAIN-JAPAN R-XVI,Strain-Japan Elementary,2,3,4,5,5,4,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-13 8:50,R_1l3N8Xg0IkTbmx2,Teacher,MERAMEC VALLEY R-III,MERAMEC VALLEY EARLY CHILDHOOD,4,3,4,5,4,3,4,5,5,1,5,1,5,3,4,4,4,4,4,4,4,5,4,4,1
Baseline,2017-03-13 9:01,R_2ElRvUW636bu1VA,Teacher,MERAMEC VALLEY R-III,MERAMEC VALLEY EARLY CHILDHOOD,2,2,2,4,3,4,3,4,4,4,5,1,5,5,5,4,4,4,4,4,4,5,4,5,4
Baseline,2017-03-13 9:05,R_32XauFKZ4EiVXpm,Teacher,SEDALIA 200,Skyline Elementary,2,2,1,4,4,2,5,4,4,2,3,1,3,4,2,3,4,4,3,4,4,4,3,4,3
Baseline,2017-03-13 9:39,R_emndGLoA6yOSeuB,Teacher,MERAMEC VALLEY R-III,MERAMEC VALLEY EARLY CHILDHOOD,1,4,2,2,2,2,2,2,2,2,4,1,4,2,2,4,4,5,5,5,5,5,5,5,3
Baseline,2017-03-13 9:59,R_21pHTI8UtfEcyJ2,Teacher,MERAMEC VALLEY R-III,MERAMEC VALLEY EARLY CHILDHOOD,3,2,3,4,5,2,4,4,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,4
Baseline,2017-03-13 11:17,R_r9nVWUz2eSPcwhz,Teacher,FT. ZUMWALT R-II,Progress South Elementary School,2,1,1,5,2,2,5,5,5,2,5,1,5,2,2,5,5,2,2,4,2,1,3,2,2
Baseline,2017-03-13 11:45,R_5iG0ZzBqSVTeSFH,Teacher,MERAMEC VALLEY R-III,MERAMEC VALLEY EARLY CHILDHOOD,3,2,4,4,4,2,3,5,5,2,5,1,5,5,4,3,3,4,4,5,5,5,4,4,3
Baseline,2017-03-13 13:45,R_24PeVbzJEv3rMAK,Teacher,SEDALIA 200,Horace Mann Elementary,3,4,4,5,4,4,4,4,4,4,4,1,5,5,5,5,5,5,5,5,5,5,4,4,2
Baseline,2017-03-13 13:46,R_2WDbvXAZ2HfqIV5,Building Administrator,MCDONALD CO. R-I,Pineville Primary,4,5,4,5,4,4,5,5,5,5,5,1,5,5,4,5,5,5,5,5,5,5,5,5,4
Baseline,2017-03-13 15:04,R_1eOESmAtTVvqqqS,Teacher,SEDALIA 200,Washington Elementary,5,4,4,4,4,4,4,4,4,4,4,1,3,4,4,4,4,4,4,4,4,4,4,4,4
Baseline,2017-03-13 15:04,R_DoRziG2ru2WV9rb,Building Administrator,SEDALIA 200,Washington Elementary,3,2,3,3,3,3,4,4,5,5,3,0,,,,4,4,4,4,4,4,4,4,4,3
Baseline,2017-03-13 15:38,R_dorgIzHAhvaZ9W9,Teacher,SEDALIA 200,Washington Elementary,4,5,4,5,3,2,5,5,5,4,5,0,,,,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-13 15:48,R_3nUHciVD1su4fhq,Teacher,SEDALIA 200,Washington Elementary,2,1,2,4,3,2,5,5,5,2,5,1,4,4,2,4,4,4,4,4,3,3,3,3,3
Baseline,2017-03-13 15:58,R_2SqqLC9Ap9eQRyS,Teacher,MCDONALD CO. R-I,Mcdonald County High,2,2,1,2,4,1,4,4,5,4,5,1,4,5,5,4,2,4,2,4,2,4,4,3,3
Baseline,2017-03-13 16:01,R_2TAxg6IWX4Wv63d,Special Educator,POPLAR BLUFF R-I,Poplar Bluff Senior High School,5,4,4,4,4,4,5,5,4,3,4,0,,,,4,4,5,4,4,4,5,5,5,4
Baseline,2017-03-13 18:34,R_3O3yaiO3lGBX339,Teacher,SEDALIA 200,Washington Elementary,3,4,2,5,4,4,5,4,5,4,5,1,5,5,5,4,2,4,4,4,3,4,4,4,4
Baseline,2017-03-13 19:28,R_2BrDDFwst0B5Xuu,Teacher,SEDALIA 200,Washington Elementary,2,3,4,4,4,4,5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-14 0:20,R_3FKYDYBPYCWMUFO,Teacher,FT. ZUMWALT R-II,Flint Hill Elementary School,4,4,4,5,4,4,5,5,5,5,5,1,5,5,5,5,5,5,5,5,4,5,5,5,3
Baseline,2017-03-14 7:32,R_beYswFEljPQo1J7,Teacher,MERAMEC VALLEY R-III,Meramec Valley Middle School,3,5,3,5,5,3,5,5,5,5,5,1,5,5,5,5,5,4,5,5,5,5,3,5,5
Baseline,2017-03-14 7:36,R_2Xclji9ZjS07rFJ,Teacher,FARMINGTON R-VII,Roosevelt Elementary,3,2,2,4,4,3,5,5,5,4,5,1,3,3,5,4,4,4,5,5,5,5,4,4,3
Baseline,2017-03-14 7:37,R_1eKSNFWDSCz8Zj9,Teacher,MERAMEC VALLEY R-III,Meramec Valley Middle School,3,3,2,4,2,3,5,5,5,3,4,1,4,4,4,4,3,3,4,3,3,4,3,4,2
Baseline,2017-03-14 7:38,R_OdQmEGBIbLx0k0h,Teacher,MERAMEC VALLEY R-III,Meramec Valley Middle School,2,2,5,4,4,5,5,5,5,2,3,0,,,,5,4,5,4,5,5,5,3,3,4
Baseline,2017-03-14 7:50,R_rcdPDyVdOP9n1EB,Teacher,SEDALIA 200,Washington Elementary,2,4,4,5,5,3,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,3
Baseline,2017-03-14 7:55,R_1dnmITJlnRB6FRO,Teacher,MERAMEC VALLEY R-III,Meramec Valley Middle School,2,1,1,3,2,1,4,4,2,1,3,1,4,4,2,2,2,3,4,3,4,3,3,4,4
Baseline,2017-03-14 7:57,R_vUoNypEYTm1Sfnz,Teacher,MERAMEC VALLEY R-III,Meramec Valley Middle School,5,5,5,5,5,4,4,5,4,4,4,1,3,3,2,3,1,3,3,3,3,4,2,2,2
Baseline,2017-03-14 8:01,R_3shl5bQBBOnbPAD,Special Educator,MERAMEC VALLEY R-III,Meramec Valley Middle School,3,5,4,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-14 8:02,R_10YODwCnBV4CToV,Teacher,MERAMEC VALLEY R-III,Meramec Valley Middle School,4,5,4,5,5,4,5,5,5,3,5,1,5,5,5,5,5,5,5,5,4,5,5,5,5
Baseline,2017-03-14 8:12,R_1pPt8WWw0PXfbbp,Teacher,MERAMEC VALLEY R-III,Meramec Valley Middle School,3,3,3,4,3,3,5,3,4,3,4,0,,,,4,4,3,3,4,4,4,4,4,4
Baseline,2017-03-14 8:14,R_324pMmyZUQadXCZ,Special Educator,MERAMEC VALLEY R-III,Meramec Valley Middle School,3,3,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4
Baseline,2017-03-14 8:14,R_3oBkaFtdWN9r7UE,Teacher,MERAMEC VALLEY R-III,Meramec Valley Middle School,5,5,5,5,5,5,5,5,4,5,5,1,4,4,5,4,4,3,3,4,3,3,3,4,3
Baseline,2017-03-14 8:15,R_3rTDMbjAcHTyHd6,Special Educator,MERAMEC VALLEY R-III,Meramec Valley Middle School,4,4,4,4,4,2,5,4,4,4,4,0,,,,4,4,4,4,4,5,4,3,3,4
Baseline,2017-03-14 8:16,R_1GCe4I55iqsSpX7,Special Educator,MERAMEC VALLEY R-III,Meramec Valley Middle School,2,3,4,5,4,5,4,5,5,5,5,1,5,4,4,5,5,5,4,5,4,5,4,5,5
Baseline,2017-03-14 8:56,R_1DqDKb1GhcJzWSO,Teacher,MERAMEC VALLEY R-III,Meramec Valley Middle School,1,2,1,5,4,4,4,4,4,2,4,1,4,4,4,4,4,4,4,4,3,4,4,4,2
Baseline,2017-03-14 8:59,R_2WuwBLCyaMEdrUP,Teacher,MERAMEC VALLEY R-III,Meramec Valley Middle School,,5,3,4,4,3,5,4,4,2,5,1,5,5,2,4,5,3,2,3,3,2,3,3,3
Baseline,2017-03-14 9:53,R_1oyTPyNC66zCI1O,Teacher,MERAMEC VALLEY R-III,Meramec Valley Middle School,4,2,4,2,5,3,5,5,3,1,5,0,,,,4,2,2,4,4,3,4,2,3,2
Baseline,2017-03-14 10:26,R_3EGbXDq9dEdpCaJ,Special Educator,MERAMEC VALLEY R-III,Nike Elementary,4,2,2,5,2,4,5,2,1,1,1,0,,,,5,5,4,5,4,4,4,4,4,4
Baseline,2017-03-14 10:34,R_3RjStkcRCXDvKja,Teacher,MERAMEC VALLEY R-III,Meramec Valley Middle School,4,5,5,5,5,4,5,5,5,4,5,1,5,5,5,5,5,4,4,4,3,5,5,5,3
Baseline,2017-03-14 10:39,R_0kB2QnacOEQqswN,Teacher,MERAMEC VALLEY R-III,Meramec Valley Middle School,2,4,3,5,4,2,5,5,5,4,4,1,4,4,4,4,4,4,5,4,5,4,4,4,4
Baseline,2017-03-14 11:17,R_1pDKEALyMOuM6gz,Teacher,MERAMEC VALLEY R-III,Meramec Valley Middle School,5,5,5,5,5,5,5,4,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-14 12:38,R_3MfE2hHfLWXWXy1,Teacher,MERAMEC VALLEY R-III,Meramec Valley Middle School,2,2,5,5,5,5,5,5,5,5,5,0,,,,4,4,5,4,5,4,5,4,5,4
